[u'2017-05-26 12:40\xa0UTC', u'SdeH', u'1\xa0\U0001f353', u'agitated_ritchie\xa0(44)']
[u'2017-05-26 12:41\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'practical_franklin\xa0(42)']
[u'2017-05-26 16:59\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-26 18:49\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-26 18:52\xa0UTC', u'luigi', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-26 18:56\xa0UTC', u'luigi', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-28 07:49\xa0UTC', u'Jack87', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-05-28 08:02\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-05-28 09:32\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-05-28 14:59\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-05-29 05:53\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-05-30 07:23\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-05-30 07:23\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-05-30 07:24\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-05-31 07:56\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-31 08:01\xa0UTC', u'RonaldRietman', u'0\xa0\U0001f353', u'peaceful_williams\xa0(47)']
[u'2017-05-31 08:21\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-31 08:44\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-31 08:45\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'peaceful_williams\xa0(47)']
